,Unnamed: 0,investor_id,name,location,type,most_recent_deal,number_of_deals,portfolio_size,city,state,country,website,industry,lat,lon
135,42,306,Tom Ryan,Los Angeles,angel,2016-02-03,0,0,Los Angeles,CA,USA,angel.co/thomasryan,food & beverages,34.0536909,-118.242766
136,45,7524,The Brandery,Cincinnati,accelerator,2015-08-01,0,0,Cincinnati,OH,USA,brandery.org,food & beverages,39.1014537,-84.5124602
137,46,12564,Anupam Mittal,Mumbai,angel,2020-05-12,0,0,Mumbai,,IND,angel.co/anupam-mittal,food & beverages,19.1387916,72.9012654
138,49,8046,Amol Sarva,New York,angel,2016-01-16,0,0,New York,NY,USA,angel.co/amol,food & beverages,40.7127281,-74.0060152
139,1,5410,Expansion Venture Capital,New York,vc,2018-01-10,0,0,New York,NY,USA,expansionvc.com,food & beverages,40.7127281,-74.0060152
140,2,8135,Safa Rashtchy,Bay Area,angel,2014-07-01,0,0,Palo Alto,CA,USA,angel.co/safa-rashtchy,food & beverages,37.4443293,-122.1598465
141,4,1583,James Joaquin,Bay Area,angel,2014-09-17,0,0,San Francisco,CA,USA,angel.co/james-joaquin,food & beverages,37.7790262,-122.4199061
142,7,8421,Bob Senoff,Seattle,angel,2011-07-12,0,0,Seattle,WA,USA,,food & beverages,47.6038321,-122.3300624
143,9,21933,Mosaic Capital Partners,Toronto,vc,2014-10-07,0,0,Toronto,CAN-ON,CAN,mosaicvp.com,food & beverages,43.6913544,-79.5006666
144,10,1881,DBL Investors,Bay Area,vc,2017-10-06,0,0,San Francisco,CA,USA,dblinvestors.com,food & beverages,37.7790262,-122.4199061
145,11,1812,IDEA Fund Partners,Raleigh,vc,2018-10-18,0,0,Durham,NC,USA,ideafundpartners.com,food & beverages,35.996653,-78.9018053
146,12,15912,Columbus Nova Technology Partners,Bay Area,vc,2017-07-12,0,0,Menlo Park,CA,USA,cntp.com,food & beverages,37.4519671,-122.1779927
147,14,286,Split Rock Partners,Eden Prarie,vc,2017-11-14,0,0,Eden Prarie,MN,USA,splitrock.com,food & beverages,44.887215,-93.474404
148,16,399,3i Group,London,vc,2017-07-05,0,0,London,,GBR,3i.com,food & beverages,42.19592,-73.36206
149,18,13365,Mattias Miksche,Stockholm,angel,2016-06-29,0,0,Stockholm,,SWE,,food & beverages,59.3293,18.0686
150,19,440,Oak Investment Partners,Norwalk,vc,2018-06-04,251,148,Norwalk,CT,USA,oakvc.com,food & beverages,41.1175966,-73.4078968
151,22,12211,Spring Singapore,Singapore,vc,2015-07-14,0,0,Singapore,,SGP,spring.gov.sg,food & beverages,1.3506631,103.6332025
152,23,1588,Mumbai Angels,Mumbai,other,2018-09-19,0,0,Mumbai,,IND,mumbaiangels.com,food & beverages,19.1387916,72.9012654
153,26,565,Russell Siegelman,Bay Area,angel,2017-02-08,0,0,Palo Alto,CA,USA,angel.co/russsiegelman,food & beverages,37.4443293,-122.1598465
154,33,1646,Hasso Plattner Ventures,Potsdam,vc,2018-08-21,0,0,Potsdam,,DEU,hp-ventures.com,food & beverages,52.4009309,13.0591397
155,34,3452,Dawn Capital,London,vc,2020-07-23,0,0,London,,GBR,dawncapital.com,food & beverages,42.19592,-73.36206
156,36,5903,Victory Park Capital,Chicago,vc,2018-04-26,0,0,Chicago,IL,USA,victoryparkcapital.com,food & beverages,41.8755616,-87.6244212
157,41,825,Merus Capital,Bay Area,vc,2020-02-13,0,0,Palo Alto,CA,USA,meruscap.com,food & beverages,37.4443293,-122.1598465
158,42,3589,Asset Management Ventures (AMV),Bay Area,vc,2020-09-11,0,0,Palo Alto,CA,USA,assetman.com,food & beverages,37.4443293,-122.1598465
159,43,1545,Saints Capital,Bay Area,vc,2015-07-15,0,0,San Francisco,CA,USA,saintscapital.com,food & beverages,37.7790262,-122.4199061
160,44,9373,Lars Albright,Boston,angel,2015-08-25,0,0,Boston,MA,USA,angel.co/lars-albright,food & beverages,42.3602534,-71.0582912
161,46,3279,Rho Ventures,New York,vc,2020-08-04,0,0,New York,NY,USA,rho.com,food & beverages,40.7127281,-74.0060152
162,49,666,Credit Suisse,Zurich,other,2020-06-18,0,0,Zurich,,CHE,credit-suisse.com,food & beverages,47.3744489,8.5410422
163,1,281,Hummer Winblad Venture Partners,Bay Area,vc,2018-12-31,0,0,San Francisco,CA,USA,humwin.com,food & beverages,37.7790262,-122.4199061
164,4,2649,Venture Investors,Cleveland,vc,2018-01-09,0,0,Madison,WI,USA,ventureinvestors.com,food & beverages,43.074761,-89.3837613
165,5,11946,Micro Angel Fund,New York,vc,2015-07-30,0,0,New York,NY,USA,,food & beverages,40.7127281,-74.0060152
166,13,15,Genesis Partners,Herzliya,vc,2019-01-07,0,0,Herzliya Pituach,,ISR,genesispartners.com,food & beverages,32.1742,34.8029
167,16,16984,Jose Maria Torroja,Madrid,angel,2015-12-23,0,0,Madrid,,ESP,,food & beverages,-33.456755,-70.635848
168,19,3,Nexus Venture Partners,Bay Area,vc,2020-09-11,217,129,Menlo Park,CA,USA,nexusvp.com,food & beverages,37.4519671,-122.1779927
169,33,10772,Marco Marinucci,Bay Area,angel,2013-01-14,0,0,San Francisco,CA,USA,angel.co/marco-marinucci,food & beverages,37.7790262,-122.4199061
170,41,5631,Redmile Group,Bay Area,vc,2020-09-14,0,0,San Francisco,CA,USA,redmilegroup.com,food & beverages,37.7790262,-122.4199061
171,44,15816,Blackbird Ventures,Sydney,vc,2020-07-21,0,0,Sydney,,AUS,blackbird.vc,food & beverages,-33.9247891,151.2277413
172,3,604,Ventech,Paris,vc,2020-04-07,0,0,Paris,,FRA,ventech.fr,food & beverages,40.091985,-82.911024
173,8,4676,ARC Financial,Calgary,vc,2011-05-04,0,0,Calgary,CAN-AB,CAN,arcfinancial.com,food & beverages,51.0161476,-114.1285572
174,9,2182,Generation Investment Management,London,vc,2019-01-03,0,0,London,,GBR,generationim.com,food & beverages,42.19592,-73.36206
175,13,8116,Jim Larrison,Washington D.C.,angel,2011-08-01,0,0,Alexandria,VA,USA,,food & beverages,38.8051095,-77.0470229
176,16,2031,AlphaLab,Pittsburgh,accelerator,2016-01-25,0,0,Pittsburgh,PA,USA,alphalab.org,food & beverages,40.4416941,-79.9900861
