,investor_id,name,location,type,most_recent_deal,number_of_deals,portfolio_size,city,state,country,website,industry
31,11826,Chrysalix EVC,Vancouver,vc,2020-09-04,0,0,Vancouver,CAN-BC,CAN,chrysalixevc.com,food & beverages
32,933,Highway 12 Ventures,Boise,vc,2015-03-24,0,0,Boise,ID,USA,highway12ventures.com,food & beverages
33,1071,Peter Bordes,New York,angel,2011-12-20,0,0,New York,NY,USA,angel.co/peter-bordes,food & beverages
34,20074,Krishnan Ganesh,Bangalore,angel,2018-04-06,0,0,Bangalore,,IND,,food & beverages
38,6603,Thibaud Elziere,Brussels,angel,2017-07-11,0,0,Brussels,,BEL,angel.co/tiboel,food & beverages
39,16193,Denis Jung,Berlin,angel,2013-07-01,0,0,Berlin,,DEU,,food & beverages
40,13125,Mirae Asset Venture Investment,Seongnam,vc,2020-04-28,0,0,Seongnam,,KOR,,food & beverages
46,2783,NYC Seed,New York,vc,2014-09-05,0,0,Brooklyn,NY,USA,nycseed.com,food & beverages
47,5410,Expansion Venture Capital,New York,vc,2018-01-10,0,0,New York,NY,USA,expansionvc.com,food & beverages
49,1362,Jason Calacanis,Bay Area,angel,2020-05-20,0,0,San Francisco,CA,USA,angel.co/jason,food & beverages
5,5232,Joshua Kushner,New York,angel,2019-12-18,0,0,New York,NY,USA,angel.co/joshuakushner,food & beverages
7,464,Chris Sacca,Sacramento,angel,2016-05-02,0,0,Truckee,CA,USA,angel.co/sacca,food & beverages
8,7668,Evan Williams,Bay Area,angel,2016-10-20,0,0,San Francisco,CA,USA,angel.co/ev,food & beverages
10,10246,Peter Kirwan,Bay Area,angel,2012-01-10,0,0,San Francisco,CA,USA,,food & beverages
14,8534,AMD Ventures,Austin,strategic,2017-08-22,0,0,Austin,TX,USA,amd.com,food & beverages
16,12456,Jason Billingsley,Vancouver,angel,2012-08-23,0,0,Vancouver,CAN-BC,CAN,,food & beverages
17,2733,Boston Capital Ventures,Boston,vc,2012-10-15,0,0,Boston,MA,USA,bcv.com,food & beverages
18,200,Vulcan Capital,Seattle,vc,2020-09-30,151,112,Seattle,WA,USA,capital.vulcan.com,food & beverages
23,4037,Navitas Capital,Alphen Aan Den Rijn,vc,2020-09-10,0,0,Alphen Aan Den Rijn,,NLD,navitascapital.nl,food & beverages
29,15013,ZhenFund,Beijing,vc,2020-07-20,0,0,Beijing,,CHN,zhenfund.com,food & beverages
30,2120,Point Nine Capital,Berlin,vc,2020-09-07,165,113,Berlin,,DEU,pointninecap.com,food & beverages
31,3452,Dawn Capital,London,vc,2020-07-23,0,0,London,,GBR,dawncapital.com,food & beverages
38,849,New World Ventures,USA,vc,2012-12-13,0,0,Chicago,IL,USA,pritzkergroup.com,food & beverages
43,18978,Boyu Capital,Hong Kong,vc,2020-07-20,0,0,Hong Kong,,CHN,boyucapital.com,food & beverages
44,1812,IDEA Fund Partners,Raleigh,vc,2018-10-18,0,0,Durham,NC,USA,ideafundpartners.com,food & beverages
45,5097,Global Brain Corporation,Tokyo,vc,2020-07-21,0,0,Tokyo,,JPN,globalbrains.co.jp,food & beverages
46,13428,Project A Ventures,Berlin,vc,2020-08-23,0,0,Berlin,,DEU,project-a.com,food & beverages
2,1115,Jason Hirschhorn,New York,angel,2012-12-01,0,0,New York,NY,USA,angel.co/jasonhirschhorn,food & beverages
3,1069,Christoph Janz,Bay Area,angel,2017-04-05,0,0,San Francisco,CA,USA,angel.co/chrija,food & beverages
5,4215,Fountain Healthcare Partners,Dublin,vc,2018-02-15,0,0,Dublin,,IRL,fh-partners.com,food & beverages
8,13598,Deutsche Telekom,Göttingen,strategic,2020-07-28,0,0,Göttingen,,DEU,telekom.de,food & beverages
9,337,Sofinnova Ventures,Bay Area,vc,2019-12-17,203,132,Menlo Park,CA,USA,sofinnova.com,food & beverages
25,2409,Chamath Palihapitiya,Bay Area,angel,2015-12-03,0,0,Palo Alto,CA,USA,angel.co/chamath-palihapitiya,food & beverages
26,2529,Mark Suster,Los Angeles,angel,2015-04-07,0,0,Los Angeles,CA,USA,angel.co/msuster,food & beverages
28,91,Palomar Ventures,Los Angeles,vc,2013-07-08,0,0,Santa Monica,CA,USA,palomarventures.com,food & beverages
43,19717,Ilya Sukhar,Bay Area,angel,2016-08-31,0,0,San Francisco,CA,USA,angel.co/ilya-sukhar,food & beverages
46,10924,Frontline Ventures,Dublin,vc,2020-07-22,0,0,Dublin,,IRL,frontline.vc,food & beverages
0,5023,BEST Funds,Toronto,vc,2015-08-01,0,0,Toronto,CAN-ON,CAN,bestfunds.ca,food & beverages
3,3433,Brian Goffman,Seattle,angel,2008-10-10,0,0,Seattle,WA,USA,,food & beverages
4,3438,Mark Wachen,New York,angel,2014-12-22,0,0,New York,NY,USA,angel.co/markwachen,food & beverages
